Pub/Form Number,Pub/Form Date,Pub/Form Title
FM 27-10,7/18/1956,THE LAW OF LAND WARFARE (THIS ITEM IS PUBLISHED W/ BASIC INCL C1)
FM 101-61-5-1,6/28/1974,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) INDIRECT FIRE ACCURACY, VOL I (U) {TH 61S1-3-6-1; FMFM 4-7I-1A; OP 4388} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
FM 101-52-4,8/1/1977,"AN INTRODUCTION TO AIR COMBAT MANUEVERING (ACM) (U) {NAVAIR 00-130-AA-1-1; TH 61B1-1-1; FMFM 5-2G-1} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTVY, ATTN: AMXSY-J, ABERDEEN PG, MD 21005-5071)"
FM 101-52-9,4/20/1979,"JOINT MUNITIONS EFFECTIVENESS MANUAL/ANTI-AIR (JMEM/AA) - SURFACE-TO-AIR SYSTEM EFFECTIVENESS: MK 15 PHALANX CLOSE-IN WEAPON SYSTEM ANTI-AIR EFFECTIVENESS MANUAL (U) {TH 61B1-6-2; FMFM 4-7E-7; SW 221-AB-MEM-010/(S)} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTVY, ATTN: AMXSY-J, ABERDEEN PG, MD 21005-5071)"
FM 101-61-5-3,5/7/1980,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) INDIRECT FIRE ACCURACY, VOL III {TH 661S1-3-6-3; FMFM 4-7I-1C; OP 4388} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
FM 101-61-6-4,10/23/1980,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) DIRECT FIRE ACCURACY, VOL IV - INFANTRY (U) {TH 61S1-3-7-4; FMFM 4-7J-1D; OP 4454} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
FM 101-60-19,10/2/1981,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) - WEAPON SYSTEM APPLICATION: EFFECTIVENESS DATA FOR 5-INCH/54 NAVAL SINGLE GUN MOUNT MK 45 WITH GUN FIRE CONTROL SYSTEM MK MK 86 (U) {TH 61S1-2-19; FMFM 4-7L-1; SW 323-DO-MEM-010/(C)} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
FM 90-5,8/16/1982,JUNGLE OPERATIONS
FM 101-61-7-1,10/19/1982,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) WEAPON SYSTEM RELIABILITY, VOL I & II {TH 61S1-3-8-1; FMFM 4-7G-3A; TW 270-AA-MEM-010} (S&I DIR USA MATERIEL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
FM 101-61-7-2,10/19/1982,"JOINT MUNITIONS EFFECTIVENESS MANUAL/SURFACE-TO-SURFACE (JMEM/SS) WEAPON SYSTEM RELIABILITY, VOL II OF II (U) {TH 61S1-3-8-2; FMFM 4-7G-3B; TW 270-AA-MEM-020/(C)} (S&I, US ARMY MATERIAL SYSTEMS ANALYSIS ACTIVITY, ATTN: AMXSY-J, ABERDEEN PROVING GROUNDS, MD 21005-5071)"
