,pub,reference
0,ADP 1,ADP 3-0
1,ADP 1,ADRP 3-0
2,ADP 1,ADRP 6-22
3,ADP 1,ADP 6-0
4,ADP 1-01,FM 27-10
5,ADP 1-01,ADRP 1-02
6,ADP 1-01,ADP 3-0
7,ADP 1-01,ADRP 3-0
8,ADP 1-01,ADP 6-0
9,ADP 1-01,ADP 5-0
10,ADP 1-01,ADRP 6-0
15,ADP 1-02,ADRP 1-02
16,ADP 1-02,ADRP 6-0
17,ADP 1-02,FM 27-10
18,ADP 2-0,ADRP 2-0
19,ADP 2-0,ADRP 3-0
20,ADP 2-0,ADRP 5-0
21,ADP 2-0,ADP 3-0
22,ADP 2-0,ADP 5-0
23,ADP 2-0,FM 2-0
24,ADP 2-0,FM 27-10
25,ADP 2-0,ADP 6-0
26,ADP 2-0,ADRP 6-0
29,ADP 2-0,FM 3-55
31,ADP 3-0,ADRP 3-0
32,ADP 3-0,FM 27-10
33,ADP 3-0,ADP 1-01
34,ADP 3-0,ADP 6-0
35,ADP 3-0,ADP 5-0
36,ADP 3-0,ADP 6-22
37,ADP 3-0,ADRP 1-02
38,ADP 3-05,ADP 3-0
39,ADP 3-05,ADRP 3-05
40,ADP 3-05,ADRP 1-02
41,ADP 3-05,FM 27-10
43,ADP 3-07,ADRP 3-07
44,ADP 3-07,ADP 5-0
45,ADP 3-07,ADRP 5-0
46,ADP 3-07,ADRP 3-0
47,ADP 3-07,ADRP 1-02
48,ADP 3-07,ADP 3-0
49,ADP 3-07,FM 3-07
50,ADP 3-07,FM 27-10
51,ADP 3-09,ADP 3-0
52,ADP 3-09,ADRP 3-09
54,ADP 3-09,ADRP 3-0
55,ADP 3-09,ADRP 1-02
56,ADP 3-09,ADP 5-0
57,ADP 3-09,ADP 6-0
58,ADP 3-09,ADRP 5-0
59,ADP 3-09,ADRP 6-0
60,ADP 3-09,FM 3-01
63,ADP 3-09,FM 3-13
64,ADP 3-09,FM 3-28
71,ADP 3-09,FM 27-10
72,ADP 3-28,ADP 3-0
74,ADP 3-28,FM 3-28
75,ADP 3-28,FM 27-10
76,ADP 3-37,ADRP 3-37
77,ADP 3-37,ADRP 3-0
78,ADP 3-37,ADRP 1-02
79,ADP 3-37,ADP 3-0
80,ADP 3-37,FM 27-10
81,ADP 3-90,FM 27-10
82,ADP 3-90,ADRP 3-90
83,ADP 3-90,ADRP 3-0
84,ADP 3-90,ADRP 1-02
85,ADP 3-90,ADP 3-0
87,ADP 4-0,ADRP 4-0
88,ADP 4-0,ADP 3-0
91,ADP 4-0,ADP 6-0
92,ADP 4-0,ADRP 3-0
99,ADP 4-0,FM 1-0
101,ADP 4-0,FM 1-04
102,ADP 4-0,FM 1-05
103,ADP 4-0,FM 1-06
104,ADP 4-0,FM 3-34
109,ADP 4-0,FM 27-10
113,ADP 5-0,ADP 6-0
114,ADP 5-0,ADRP 3-0
115,ADP 5-0,ADP 3-0
117,ADP 5-0,ADRP 5-0
118,ADP 5-0,ADRP 6-0
119,ADP 5-0,FM 27-10
120,ADP 6-0,ADP 3-0
121,ADP 6-0,ADRP 6-0
123,ADP 6-0,ADRP 3-0
124,ADP 6-0,ADP 5-0
125,ADP 6-0,ADRP 5-0
127,ADP 6-0,FM 27-10
128,ADP 6-22,FM 3-13
129,ADP 6-22,ADP 6-0
130,ADP 6-22,ADRP 6-0
131,ADP 6-22,ADRP 6-22
132,ADP 6-22,FM 27-10
133,ADP 7-0,ADP 3-0
134,ADP 7-0,ADP 6-22
135,ADP 7-0,ADP 5-0
136,ADP 7-0,ADP 6-0
137,ADP 7-0,FM 27-10
138,ADP 7-0,ADRP 7-0
139,ADRP 1,FM 27-10
140,ADRP 1,ADRP 6-0
142,ADRP 1,ADRP 1-02
143,ADRP 1-02,ADP 1-02
144,ADRP 1-02,FM 27-10
145,ADRP 1-02,ADRP 3-90
146,ADRP 1-02,ADP 5-0
147,ADRP 1-02,FM 3-90-1
148,ADRP 1-02,ATP 4-32
149,ADRP 1-02,ADRP 7-0
150,ADRP 1-02,ATP 3-39.32
151,ADRP 1-02,ATP 3-06.20
152,ADRP 1-02,ADRP 3-09
153,ADRP 1-02,ATP 3-27.5
154,ADRP 1-02,ATP 3-01.94
155,ADRP 1-02,ATP 3-05.2
156,ADRP 1-02,ADRP 5-0
157,ADRP 1-02,ATP 3-53.1
158,ADRP 1-02,FM 3-90-2
159,ADRP 1-02,ADRP 3-0
160,ADRP 1-02,ATP 3-07.5
161,ADRP 1-02,ATP 3-17.2
162,ADRP 1-02,ATP 4-02.2
163,ADRP 1-02,ATP 3-01.7
164,ADRP 1-02,FM 3-99
165,ADRP 1-02,ATP 3-55.6
166,ADRP 1-02,ATP 3-52.2
167,ADRP 1-02,ATP 3-01.18
168,ADRP 1-02,ATP 3-01.48
169,ADRP 1-02,ATP 3-04.64
170,ADRP 1-02,ATP 3-09.42
171,ADRP 1-02,FM 4-01
172,ADRP 1-02,ATP 4-48
173,ADRP 1-02,ATP 3-52.1
174,ADRP 1-02,ATP 3-01.8
175,ADRP 1-02,FM 3-52
176,ADRP 1-02,ATP 3-09.34
177,ADRP 1-02,FM 3-96
178,ADRP 1-02,ATP 3-60.2
179,ADRP 1-02,ATP 3-04.1
180,ADRP 1-02,ATP 4-13
181,ADRP 1-02,FM 4-95
182,ADRP 1-02,ATP 2-01
183,ADRP 1-02,ADRP 2-0
184,ADRP 1-02,ATP 3-90.1
185,ADRP 1-02,ATP 3-09.30
186,ADRP 1-02,ATP 3-52.3
187,ADRP 1-02,ADP 4-0
188,ADRP 1-02,ATP 2-01.3
189,ADRP 1-02,ATP 3-05.1
190,ADRP 1-02,ADP 3-0
191,ADRP 1-02,ATP 2-19.4
192,ADRP 1-02,ADP 1-01
193,ADRP 1-02,ATP 1-06.3
194,ADRP 1-02,ADP 6-22
195,ADRP 1-02,FM 3-94
196,ADRP 1-02,ADRP 3-05
197,ADRP 1-02,ATP 3-75
198,ADRP 1-02,ADP 6-0
199,ADRP 1-02,ADP 3-37
200,ADRP 1-02,FM 3-24
201,ADRP 1-02,ATP 4-0.1
202,ADRP 1-02,FM 6-0
203,ADRP 1-02,ATP 2-19.3
204,ADRP 1-02,ATP 3-90.4
205,ADRP 1-02,ATP 6-02.53
206,ADRP 1-02,ATP 3-09.50
207,ADRP 1-02,ATP 3-14.5
208,ADRP 1-02,ATP 4-94
209,ADRP 1-02,ATP 3-37.10
210,ADRP 1-02,ATP 4-93
211,ADRP 1-02,ADRP 3-37
212,ADRP 1-02,ATP 3-91
214,ADRP 1-02,ATP 4-02.3
215,ADRP 1-02,ATP 3-01.15
216,ADRP 1-02,ATP 3-01.16
217,ADRP 1-02,ATP 4-02.55
218,ADRP 1-02,ATP 3-05.11
219,ADRP 1-02,ATP 4-02.84
220,ADRP 1-02,ATP 2-22.82
221,ADRP 1-02,ATP 4-02.85
222,ADRP 1-02,FM 3-07
223,ADRP 1-02,ATP 3-07.31
224,ADRP 1-02,ATP 2-91.8
225,ADRP 1-02,ATP 1-0.2
226,ADRP 1-02,ADRP 3-28
227,ADRP 1-02,ATP 3-92
228,ADRP 1-02,ATP 3-05.20
229,ADRP 1-02,ADP 3-28
230,ADRP 1-02,ATP 3-11.37
231,ADRP 1-02,FM 3-53
232,ADRP 1-02,ATP 1-06.2
233,ADRP 1-02,ATP 2-91.7
234,ADRP 1-02,ATP 4-10
235,ADRP 1-02,FM 1-04
236,ADRP 1-02,ATP 3-57.70
237,ADRP 1-02,ATP 3-57.30
238,ADRP 1-02,ATP 3-07.6
239,ADRP 1-02,ATP 3-57.60
240,ADRP 1-02,ADRP 4-0
241,ADRP 1-02,ATP 3-35
242,ADRP 1-02,ATP 3-06.1
243,ADRP 1-02,ATP 3-55.3
